nonlinearity,width,avg_outer_iterations,avg_inner_iterations,lambda_min_positive,lambda_max,condition_ratio,rho_lin,rho_full_mean_diag,inv_neg_log_rho,inv_one_minus_rho,L_odd,L_even,sigma,inv_neg_log_sigma,L_full,kappa_full,kappa_block_min,kappa_block_max,sigma_over_L_full,sigma_over_L_block_min,sigma_over_L_block_max,one_minus_sigma_over_L_full,one_minus_sigma_over_L_block_min,one_minus_sigma_over_L_block_max,output_dim,nl_layer1_mean,nl_layer2_mean,nl_layer3_mean,nl_layer1_nonzero_fraction,nl_layer2_nonzero_fraction,nl_layer3_nonzero_fraction
double_diode_exponential,64,13.783333333333333,nan,0.29222225962564896,51.8495788530086,177.43199617794502,0.4470678405888479,0.3781267353898164,1.02825029170125,1.6080446883768866,51.84823109756874,0.6518132084805739,0.29222225962564896,0.812849126780156,51.8495788530086,177.43199617794502,2.2305392112003326,177.4273840876765,0.005635962067388954,0.4483220895551369,0.005636108569947949,0.9943640379326111,0.551677910444863,0.9943638914300521,20,4.707276694428527,nan,nan,0.921875,nan,nan
double_diode_exponential,128,14.141666666666667,nan,0.5424420000398256,7.5094219598717284,13.843732526833088,0.5034373341519444,0.5034365684049734,1.4570939254262751,2.013841407507334,7.488479374525163,1.3594933556159958,0.5424420000398256,1.6348574853023392,7.5094219598717284,13.843732526833088,2.506246484446601,13.805124555206577,0.07223485415235492,0.39900305345298387,0.07243686907720451,0.927765145847645,0.6009969465470162,0.9275631309227955,20,1.0665840316710384e-05,nan,nan,0.4296875,nan,nan
double_diode_exponential,256,8.052777777777777,nan,0.5611517801907328,40.88491070054458,72.85891650677469,0.2728824988587026,0.20934733704195108,0.6394841126254225,1.2647778814261184,40.88375222798539,1.0405349974904894,0.5611517801907328,1.7308109319463776,40.88491070054458,72.85891650677469,1.8542844097132092,72.85685205184451,0.013725156067988142,0.5392915966729526,0.013725544980840042,0.9862748439320118,0.46070840332704743,0.98627445501916,20,2.5400990639694836,nan,nan,0.9921875,nan,nan
double_diode_exponential,512,7.236111111111111,nan,0.9278123273330314,31.126152016187255,33.54789659419426,0.21763733551766173,0.1593237294196689,0.5444200150079743,1.1895185281127125,31.125005192741362,1.436072801326958,0.9278123273330314,13.34653748546884,31.126152016187255,33.54789659419426,1.5478052608493638,33.54666054309631,0.029808128124880956,0.6460761087291087,0.029809226427033843,0.970191871875119,0.3539238912708913,0.9701907735729661,20,2.2080055338558626,nan,nan,1.0,nan,nan
double_diode_exponential,1024,5.761111111111111,nan,1.3837637040306885,58.03393275417932,41.93919278640963,0.16662197381757485,0.11634326262523328,0.4648545990085558,1.1316611504268892,58.03389839554503,1.8847598798947747,1.3837637040306885,-3.078750352800382,58.03393275417932,41.93919278640963,1.3620532713820737,41.939167956567516,0.02384404499850196,0.7341856746801844,0.023844059115231058,0.976155955001498,0.26581432531981564,0.976155940884769,20,2.679483183263596,nan,nan,1.0,nan,nan
experimental,64,13.780555555555555,nan,0.2925621632660665,53.43163880703678,182.63345543573976,0.4470678405888479,0.3772504704879196,1.0258031191745771,1.6057820240883884,53.43033136347671,0.6518132084805739,0.2925621632660665,0.8136179394365228,53.43163880703678,182.63345543573976,2.2279477332405135,182.62898649298427,0.005475448064069803,0.44884356355412175,0.005475582048627397,0.9945245519359301,0.5511564364458783,0.9945244179513726,20,4.83435861603943,nan,nan,1.0,nan,nan
experimental,128,14.147222222222222,nan,0.5424421379911915,7.509421986043888,13.843729054408069,0.5034373341519444,0.5034364601606494,1.4570934689319528,2.01384096851638,7.48847939213859,1.3594933556159958,0.5424421379911915,1.634858165026366,7.509421986043888,13.843729054408069,2.506245847069632,13.80512107682201,0.07223487227103623,0.39900315492561356,0.07243688732864079,0.9277651277289638,0.6009968450743864,0.9275631126713593,20,1.2219991218489245e-05,nan,nan,1.0,nan,nan
experimental,256,8.047222222222222,nan,0.5613844602341911,42.814873890502426,76.26658185843169,0.2728824988587026,0.2085440700046844,0.6379158449748696,1.2634942289280955,42.813768690018776,1.0405349974904894,0.5613844602341911,1.732053727687738,42.814873890502426,76.26658185843169,1.8535158544581238,76.26461315327161,0.01311190269227261,0.539515212451393,0.013112241164722958,0.9868880973077274,0.460484787548607,0.986887758835277,20,2.615297110892897,nan,nan,1.0,nan,nan
experimental,512,7.233333333333333,nan,0.9284032130822505,31.694001634238052,34.13818606789997,0.21763733551766173,0.15860735395041983,0.5430875911216864,1.1885057525699763,31.692876062183224,1.436072801326958,0.9284032130822505,13.460917034539202,31.694001634238052,34.13818606789997,1.5468201543155702,34.13697369375158,0.029292710456584478,0.6464875681959777,0.029293750786791032,0.9707072895434156,0.35351243180402225,0.9707062492132089,20,2.271467411008983,nan,nan,1.0,nan,nan
experimental,1024,5.758333333333334,nan,1.3852698862139563,60.11763524962061,43.39777818597248,0.16662197381757485,0.11565373620392569,0.46357363866931667,1.1307787921299963,60.11760211555558,1.8847598798947747,1.3852698862139563,-3.0684731217939776,60.11763524962061,43.39777818597248,1.3605723322593557,43.39775426712073,0.02304265429706333,0.7349848121190352,0.023042666997117545,0.9769573457029367,0.2650151878809648,0.9769573330028825,20,2.763899544478808,nan,nan,1.0,nan,nan
