nonlinearity,width,avg_outer_iterations,avg_inner_iterations,lambda_min_positive,lambda_max,condition_ratio,rho_lin,rho_full_mean_diag,inv_neg_log_rho,inv_one_minus_rho,L_odd,L_even,sigma,inv_neg_log_sigma,L_full,kappa_full,kappa_block_min,kappa_block_max,sigma_over_L_full,sigma_over_L_block_min,sigma_over_L_block_max,one_minus_sigma_over_L_full,one_minus_sigma_over_L_block_min,one_minus_sigma_over_L_block_max,output_dim,nl_layer1_mean,nl_layer2_mean,nl_layer3_mean,nl_layer1_nonzero_fraction,nl_layer2_nonzero_fraction,nl_layer3_nonzero_fraction
double_diode_exponential,64,7.438888888888889,nan,0.012661231069414263,160.04798688809657,12640.791879608336,0.9564380579922344,0.06546065696148445,0.3667966873781505,1.0700459081247975,160.0465107434992,10.42594526755914,0.012661231069414263,0.22887429459705128,160.04798688809657,12640.791879608336,823.4543079104761,12640.675291846112,7.91089679763784e-05,0.0012143964642525344,7.910969761600091e-05,0.9999208910320236,0.9987856035357474,0.999920890302384,20,37.657229945812,1.5171601167816848,7.321336934131502,1.0,1.0,1.0
double_diode_exponential,128,26.508333333333333,nan,0.04302742224506974,168.7562892111236,3922.0636609356816,0.967708552708162,0.32927688071295663,0.9002064448019179,1.490928180711837,168.7429732017256,7.434103272601885,0.04302742224506974,0.31787227590145906,168.7562892111236,3922.0636609356816,172.77593880153293,3921.754183660418,0.00025496781451054553,0.005787842953923672,0.0002549879347783694,0.9997450321854895,0.9942121570460764,0.9997450120652216,20,1.7719091282446002,5.2366815556650445e-05,1.5515430503590069,0.7265625,0.53125,1.0
double_diode_exponential,256,13.222222222222221,nan,0.028959955175115598,21.177031207612767,731.2522094581673,0.9598417893536461,0.24976103469520974,0.7208502506447813,1.3329086414403208,21.164113009100852,4.829251332658947,0.028959955175115598,0.2823390227831592,21.177031207612767,731.2522094581673,166.75617429161542,730.8061383771245,0.0013675172355936752,0.0059967794550818045,0.0013683519438146277,0.9986324827644063,0.9940032205449182,0.9986316480561853,20,0.04053243270903087,1.9445728414488298e-07,1.9042660088047256,0.54296875,0.1484375,1.0
double_diode_exponential,512,95.25555555555556,nan,0.00627402044868397,30.511016178068505,4863.07247922159,0.9690493528735389,0.9690493528735389,31.80688221910583,32.309502153997116,30.501932301123453,6.61738011224978,0.00627402044868397,0.197186623679513,30.511016178068505,4863.07247922159,1054.7272146105026,4861.6246234137625,0.00020563131729430147,0.0009481124466569181,0.00020569255700737636,0.9997943686827057,0.9990518875533431,0.9997943074429926,20,0.0,0.0,0.0,0.0,0.0,0.0
experimental,64,7.425,nan,0.012852047230643916,173.67019739789046,13513.037594804202,0.9564380579922344,0.04186902534538423,0.31513840000530063,1.0436986450213417,173.67006984893587,36.97912123348334,0.012852047230643916,0.22966056227751044,173.67019739789046,13513.037594804202,2877.2942216794677,13513.02767039665,7.40026062226381e-05,0.000347548746480401,7.400266057256189e-05,0.9999259973937774,0.9996524512535196,0.9999259973394274,20,38.84543026627926,6.24551322634273,120.88447278744269,1.0,1.0,1.0
experimental,128,26.23611111111111,nan,0.04370039311297127,176.45823553877017,4037.909569431158,0.967708552708162,0.1697008494615771,0.5637874470506418,1.2043851897855506,176.44551767404792,7.434112290071868,0.04370039311297127,0.3194481794697372,176.45823553877017,4037.909569431158,170.11545573179876,4037.618545396446,0.00024765289633291003,0.005878360644529464,0.00024767074669303907,0.9997523471036671,0.9941216393554705,0.9997523292533069,20,1.8541531366901034,0.00022144065579481873,25.513365418106492,1.0,1.0,1.0
experimental,256,13.202777777777778,nan,0.029699074161138275,56.761169454459385,1911.2100648825042,0.9598417893536461,0.17432858352214198,0.5724710085771683,1.211135543804812,56.76077339419576,4.82925136430025,0.029699074161138275,0.28436239385221923,56.761169454459385,1911.2100648825042,162.6061249619493,1911.196729104376,0.0005232287221454525,0.0061498298433346555,0.0005232323730841773,0.9994767712778545,0.9938501701566653,0.9994767676269158,20,0.04162202897912767,1.1032401394188928e-06,31.430382522287594,1.0,1.0,1.0
experimental,512,95.22777777777777,nan,0.00627402045608072,30.511016178341062,4863.072473531718,0.9690493528735389,0.9690493528336067,31.806882177417055,32.30950211231176,30.50193230139525,6.617380112254762,0.00627402045608072,0.19718662372535356,30.511016178341062,4863.072473531718,1054.727213367827,4861.624617725476,0.00020563131753489338,0.0009481124477739805,0.0002056925572480445,0.9997943686824651,0.9990518875522261,0.999794307442752,20,3.1496092287214517e-09,6.240231256407143e-12,6.169989653186361e-12,1.0,1.0,1.0
single_diode_exponential,64,128.85555555555555,nan,0.01526479073316711,216.35494492222165,14173.46288620445,0.9416621731825208,0.9307512387615913,13.93471177538608,14.440691531754815,216.1960060800593,10.051836419061848,0.01526479073316711,0.2391082394042224,216.35494492222165,14173.46288620445,658.4981474538899,14163.050765596925,7.05543880157429e-05,0.0015186071576154634,7.060625684044516e-05,0.9999294456119843,0.9984813928423846,0.9999293937431596,10,0.5535384006371045,1.370577316048123e-07,0.010118888687558725,0.890625,0.109375,0.9375
single_diode_exponential,128,23.663888888888888,nan,0.03507767181977617,360.34602897379216,10272.803475247621,0.936282711776431,0.5961080940154537,1.9329899551483203,2.4759099778500193,360.34533490378504,15.14305092712506,0.03507767181977617,0.2984904904800454,360.34602897379216,10272.803475247621,431.7005702353278,10272.783688586445,9.734441064793129e-05,0.0023164203824305395,9.734459814539343e-05,0.9999026555893521,0.9976835796175695,0.9999026554018546,10,36.82538482677144,1.1212352121991032,0.9412462889769422,0.984375,0.765625,0.703125
single_diode_exponential,256,67.85,nan,0.07338393521489744,316.0641979266742,4306.994398721084,0.971937683893887,0.6406615048227359,2.2459088993624143,2.7828913779657625,316.0632868559355,6.5429700801117,0.07338393521489744,0.38284102929458985,316.0641979266742,4306.994398721084,89.16079603732442,4306.981983595947,0.00023218047376540342,0.011215691699089148,0.00023218114303907278,0.9997678195262346,0.9887843083009109,0.999767818856961,20,17.16236187723085,0.013469811599049974,0.5914035735340039,0.67578125,0.34765625,0.9609375
single_diode_exponential,512,11.580555555555556,nan,0.059188458771662664,303.53965716660065,5128.358863635839,0.8782178445049971,0.34827269832091895,0.9480744459164407,1.5343840858341284,303.5386868109286,5.906701758145107,0.059188458771662664,0.3537282789939898,303.53965716660065,5128.358863635839,99.79482285443503,5128.342469296602,0.00019499415438548946,0.010020559898769925,0.00019499477774485662,0.9998050058456145,0.9899794401012301,0.9998050052222551,10,10.226462833746952,0.05179224900302636,2.077349884842878,0.82421875,0.849609375,0.9453125
