nonlinearity,width,avg_outer_iterations,avg_inner_iterations,lambda_min_positive,lambda_max,condition_ratio,rho_lin,rho_full_mean_diag,inv_neg_log_rho,inv_one_minus_rho,L_odd,L_even,sigma,inv_neg_log_sigma,L_full,kappa_full,kappa_block_min,kappa_block_max,sigma_over_L_full,sigma_over_L_block_min,sigma_over_L_block_max,one_minus_sigma_over_L_full,one_minus_sigma_over_L_block_min,one_minus_sigma_over_L_block_max,output_dim,nl_layer1_mean,nl_layer2_mean,nl_layer3_mean,nl_layer1_nonzero_fraction,nl_layer2_nonzero_fraction,nl_layer3_nonzero_fraction
double_diode_exponential,64,33.4,nan,0.01906588167227534,14.18885483934491,744.2013478966272,0.8518286595655434,0.8518286595655434,6.235585035433483,6.748943466853152,14.168722165980547,1.2101691934454557,0.01906588167227534,0.2525345094999632,14.18885483934491,744.2013478966272,63.47302549376585,743.1453949797665,0.0013437223714070782,0.015754724029945877,0.0013456316983935922,0.9986562776285929,0.9842452759700542,0.9986543683016064,20,0.0,0.0,nan,0.0,0.0,nan
double_diode_exponential,128,21.261111111111113,nan,0.05171881777993494,30.808271919072194,595.6878606576483,0.8338014282324638,0.3540001580406882,0.9629663189165679,1.5479879948066377,30.786909473477863,6.544710662395437,0.05171881777993494,0.3376172935128231,30.808271919072194,595.6878606576483,126.54408865731172,595.2748108914061,0.0016787315405353148,0.007902384146193145,0.0016798963801316071,0.9983212684594647,0.9920976158538068,0.9983201036198683,20,7.24237856743405e-05,2.2615821023414506,nan,0.5859375,1.0,nan
double_diode_exponential,256,39.93888888888889,nan,0.050352858569994635,21.803449924960084,433.0131504778718,0.858518165299549,0.858518165299549,6.555337822372606,7.068045181328234,21.79282637764082,1.328745794510617,0.050352858569994635,0.3345936486296637,21.803449924960084,433.0131504778718,26.38868640721858,432.8021684676947,0.0023093986843041683,0.03789502761025845,0.002310524467888941,0.9976906013156959,0.9621049723897416,0.9976894755321111,20,0.0,0.0,nan,0.0,0.0,nan
double_diode_exponential,512,62.00833333333333,nan,0.07078904284891835,28.250984287474147,399.0869653057587,0.88596785686016,0.88596785686016,8.259370125026917,8.769457211495878,28.242291476581336,1.6453263036242696,0.07078904284891835,0.37763622387071744,28.250984287474147,399.0869653057587,23.242669167540665,398.9641664862951,0.0025057195221443885,0.04302431845463518,0.002506490767847822,0.9974942804778556,0.9569756815453648,0.9974935092321522,20,0.0,0.0,nan,0.0,0.0,nan
double_diode_exponential,1024,68.50555555555556,nan,0.10067890449612094,38.3344793484726,380.75979809603103,0.9183713071548094,0.9183713071548094,11.74349904150646,12.250594308750077,38.32699624337384,2.3216330869130886,0.10067890449612094,0.43557440914694295,38.3344793484726,380.75979809603103,23.05977700624006,380.68547165062313,0.00262632768743036,0.04336555378351648,0.002626840461402628,0.9973736723125697,0.9566344462164835,0.9973731595385974,20,0.0,0.0,nan,0.0,0.0,nan
experimental,64,33.4,nan,0.019065881735771964,14.18885484037436,744.2013454721485,0.8518286595655434,0.8518286589573242,6.2355850076707435,6.748943439149837,14.16872216700066,1.2101691934620746,0.019065881735771964,0.25253450971235375,14.18885484037436,744.2013454721485,63.473025283248234,743.1453925583147,0.001343722375784692,0.01575472408219873,0.0013456317027781745,0.9986562776242153,0.9842452759178013,0.9986543682972219,20,1.792860415851028e-08,3.752031503288614e-11,nan,1.0,1.0,nan
experimental,128,21.241666666666667,nan,0.053127765458077264,30.823322486303653,580.1735160615049,0.8338014282324638,0.15301374657557804,0.5327004809780338,1.1806567060054791,30.786910100718064,22.68473307023666,0.053127765458077264,0.3407090485379944,30.823322486303653,580.1735160615049,426.98451317582743,579.4881421280892,0.001723622282500032,0.0023420053166851307,0.0017256608501558632,0.9982763777175,0.9976579946833148,0.9982743391498441,20,7.662074083940783e-05,9.285351590448848,nan,1.0,1.0,nan
experimental,256,39.95,nan,0.050352858591339394,21.803449925374476,433.01315030254574,0.858518165299549,0.8585181652138609,6.555337818083554,7.068045177047489,21.792826378054738,1.3287457945219583,0.050352858591339394,0.33459364867712094,21.803449925374476,433.01315030254574,26.388686396257555,432.8021682924486,0.002309398685239239,0.03789502762599885,0.002310524468824496,0.9976906013147607,0.9621049723740012,0.9976894755311755,20,2.0130628412071253e-09,1.4440109536566688e-11,nan,1.0,1.0,nan
experimental,512,61.986111111111114,nan,0.07078904285316384,28.250984287501257,399.08696528220696,0.88596785686016,0.8859678568501377,8.259370124255224,8.769457210725127,28.242291476608195,1.6453263036304895,0.07078904285316384,0.37763622387927026,28.250984287501257,399.08696528220696,23.242669166234577,398.9641664627471,0.0025057195222922615,0.04302431845705287,0.002506490767995762,0.9974942804777077,0.9569756815429471,0.9974935092320042,20,1.2110155333905088e-10,9.755426033258341e-12,nan,1.0,1.0,nan
experimental,1024,68.50277777777778,nan,0.10067890449949601,38.33447934848202,380.75979808336035,0.9183713071548094,0.918371307151315,11.74349904098171,12.250594308225644,38.32699624338311,2.3216330869209427,0.10067890449949601,0.4355744091533031,38.33447934848202,380.75979808336035,23.059777005545033,380.68547163795336,0.0026263276875177575,0.04336555378482353,0.0026268404614900533,0.9973736723124822,0.9566344462151765,0.9973731595385099,20,2.8094732871815926e-11,6.1689751113535275e-12,nan,1.0,1.0,nan
