root_label,root_path,relative_run_dir,run_dir,family,case_slug,config_path,config_exists,weights_path,dataset,non_linearity,dims,input_gain,voltage_amp,current_amp,weight_min,weight_max,exp_clip,batch_size,rel_tol,vn_tol,num_iterations,single_diode_updater,double_diode_updater,adaptive_equilibrium,use_polish,max_newton_iters,overrelaxation_factor,learning_rate,amplifier,validation_accuracy,validation_correct,validation_total,spice_npz_path,spice_npz_present,spice_timing_json_path,spice_timing_json_present,spice_timing_total_seconds,spice_timing_simulation_seconds,spice_timing_netlist_seconds,error_p90_path,error_p90_present,error_p90,wall_time_path,wall_time_present,run_status
april29_self_contained,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559,double_diode_exponential/hidden_3/hidden_128/20260429-103928_double_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/double_diode_exponential/hidden_3/hidden_128/20260429-103928_double_diode_exponential,double_diode_exponential,double_diode_exponential/hidden_3/hidden_128,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_3/hidden_128/config/config_resolved.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_3/hidden_128/weights/weights.pt,digits,double_diode_exponential,"[128, 128, 128, 128, 20]",10.0,4.0,1.0,1e-07,100.0,165,1,1e-05,1e-06,512,custom,float64_overrelaxed,True,True,8,1.4,"[0.5, 0.5, 0.5, 0.5]",,0.9611111111111111,346,360,,False,,False,,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/double_diode_exponential/hidden_3/hidden_128/20260429-103928_double_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,1.1884189835438427e-05,.,True,complete_with_error_summary_only
april29_self_contained,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559,double_diode_exponential/hidden_3/hidden_256/20260429-103953_hard_sigmoid,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/double_diode_exponential/hidden_3/hidden_256/20260429-103953_hard_sigmoid,double_diode_exponential,double_diode_exponential/hidden_3/hidden_256,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_3/hidden_256/config/config_resolved.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_3/hidden_256/weights/weights.pt,digits,hard_sigmoid,"[128, 256, 256, 256, 20]",10.0,4.0,1.0,1e-07,100.0,100000.0,1,1e-05,1e-06,512,custom,float64_overrelaxed,True,True,9,1.4,"[0.2, 0.2, 0.2, 0.2]",,0.8916666666666667,321,360,,False,,False,,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/double_diode_exponential/hidden_3/hidden_256/20260429-103953_hard_sigmoid/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,0.24621223644100587,.,True,complete_with_error_summary_only
april29_self_contained,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559,double_diode_exponential/hidden_3/hidden_512/20260429-104003_double_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/double_diode_exponential/hidden_3/hidden_512/20260429-104003_double_diode_exponential,double_diode_exponential,double_diode_exponential/hidden_3/hidden_512,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_3/hidden_512/config/config_resolved.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_3/hidden_512/weights/weights.pt,digits,double_diode_exponential,"[128, 512, 512, 512, 20]",10.0,4.0,1.0,1e-07,100.0,100000.0,1,1e-05,1e-06,512,custom,float64_overrelaxed,True,True,9,1.4,"[0.3, 0.3, 0.3, 0.3]",,0.9194444444444444,331,360,,False,,False,,,,,False,,.,True,validation_only_or_in_progress
april29_self_contained,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559,double_diode_exponential/hidden_3/hidden_64/20260429-103900_double_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/double_diode_exponential/hidden_3/hidden_64/20260429-103900_double_diode_exponential,double_diode_exponential,double_diode_exponential/hidden_3/hidden_64,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_3/hidden_64/config/config_resolved.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_3/hidden_64/weights/weights.pt,digits,double_diode_exponential,"[128, 64, 64, 64, 20]",10.0,4.0,1.0,1e-07,100.0,100000.0,1,1e-05,1e-06,512,custom,float64_overrelaxed,True,True,9,1.2,"[0.3, 0.3, 0.3, 0.3]",,0.825,297,360,,False,,False,,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/double_diode_exponential/hidden_3/hidden_64/20260429-103900_double_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,1.2564088002880897e-05,.,True,complete_with_error_summary_only
april29_self_contained,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559,experimental/hidden_1/hidden_1024/20260429-104207_experimental,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_1024/20260429-104207_experimental,experimental,experimental/hidden_1/hidden_1024,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_1/hidden_1024/config/config_resolved.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_1/hidden_1024/weights/weights.pt,digits,experimental,"[128, 1024, 20]",10.0,4.0,1.0,1e-07,100.0,100,1,1e-05,1e-06,512,custom,overrelaxed,True,False,8,1.0,"[0.01, 0.01]",,0.95,342,360,,False,,False,,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_1024/20260429-104207_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,1.2744305948747641e-05,.,True,complete_with_error_summary_only
april29_self_contained,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559,experimental/hidden_1/hidden_128/20260429-104137_experimental,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_128/20260429-104137_experimental,experimental,experimental/hidden_1/hidden_128,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_1/hidden_128/config/config_resolved.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_1/hidden_128/weights/weights.pt,digits,experimental,"[128, 128, 20]",10.0,4.0,1.0,1e-07,100.0,100,1,1e-05,1e-06,512,custom,overrelaxed,True,False,8,1.0,"[0.01, 0.01]",,0.9166666666666666,330,360,,False,,False,,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_128/20260429-104137_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,1.675365216377257e-05,.,True,complete_with_error_summary_only
april29_self_contained,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559,experimental/hidden_1/hidden_256/20260429-104143_experimental,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_256/20260429-104143_experimental,experimental,experimental/hidden_1/hidden_256,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_1/hidden_256/config/config_resolved.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_1/hidden_256/weights/weights.pt,digits,experimental,"[128, 256, 20]",10.0,4.0,1.0,1e-07,100.0,100,1,1e-05,1e-06,512,custom,overrelaxed,True,False,8,1.0,"[0.01, 0.01]",,0.9555555555555556,344,360,,False,,False,,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_256/20260429-104143_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,1.2833556392655314e-05,.,True,complete_with_error_summary_only
april29_self_contained,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559,experimental/hidden_1/hidden_512/20260429-104155_experimental,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_512/20260429-104155_experimental,experimental,experimental/hidden_1/hidden_512,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_1/hidden_512/config/config_resolved.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_1/hidden_512/weights/weights.pt,digits,experimental,"[128, 512, 20]",10.0,4.0,1.0,1e-07,100.0,100,1,1e-05,1e-06,512,custom,overrelaxed,True,False,8,1.0,"[0.01, 0.01]",,0.9611111111111111,346,360,,False,,False,,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_512/20260429-104155_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,1.2572153556988855e-05,.,True,complete_with_error_summary_only
april29_self_contained,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559,experimental/hidden_1/hidden_64/20260429-104122_experimental,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_64/20260429-104122_experimental,experimental,experimental/hidden_1/hidden_64,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_1/hidden_64/config/config_resolved.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_1/hidden_64/weights/weights.pt,digits,experimental,"[128, 64, 20]",10.0,4.0,1.0,1e-07,100.0,100,1,1e-05,1e-06,512,custom,overrelaxed,True,False,100,1.0,"[0.01, 0.01]",,0.95,342,360,,False,,False,,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_64/20260429-104122_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,1.581163261449674e-05,.,True,complete_with_error_summary_only
april29_self_contained,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559,experimental/hidden_2/hidden_1024/20260429-104341_experimental,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_2/hidden_1024/20260429-104341_experimental,experimental,experimental/hidden_2/hidden_1024,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_2/hidden_1024/config/config_resolved.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_2/hidden_1024/weights/weights.pt,digits,experimental,"[128, 1024, 1024, 20]",10.0,4.0,1.0,1e-07,100.0,200,1,1e-05,1e-06,512,custom,overrelaxed,True,True,8,1,"[0.05, 0.1, 0.1]",,0.8611111111111112,310,360,,False,,False,,,,,False,,.,True,validation_only_or_in_progress
