nonlinearity,hidden_layers,hidden_size,mean_absolute_error,p50_relative_error,p90_relative_error,p99_relative_error,error_summary_rel_path
experimental,1,1024,7.874563405103234e-06,1.2130469592075763e-05,1.2744305948747641e-05,1.329171435296742e-05,errors/experimental__hidden_1__hidden_1024/cross_layer_rel_l1_percentiles_node_weighted.json
experimental,2,64,9.105626214769296e-06,6.84567206757485e-05,7.972110660028444e-05,8.668303402413196e-05,errors/experimental__hidden_2__hidden_64/cross_layer_rel_l1_percentiles_node_weighted.json
experimental,2,128,1.4856242470047937e-05,1.2071552590912807e-05,1.3564627225389795e-05,1.68342451910547e-05,errors/experimental__hidden_2__hidden_128/cross_layer_rel_l1_percentiles_node_weighted.json
experimental,2,256,6.1491669795551955e-06,6.388681417615914e-05,7.413528342685774e-05,8.297112235334038e-05,errors/experimental__hidden_2__hidden_256/cross_layer_rel_l1_percentiles_node_weighted.json
experimental,2,512,6.236631095163978e-06,8.071826428061708e-05,9.135707282779661e-05,0.00010255941617365315,errors/experimental__hidden_2__hidden_512/cross_layer_rel_l1_percentiles_node_weighted.json
experimental,2,1024,,,,,
experimental,3,64,2.1291879883099442e-05,1.203534093924858e-05,1.2730501117907788e-05,1.3691909562593632e-05,errors/experimental__hidden_3__hidden_64/cross_layer_rel_l1_percentiles_node_weighted.json
experimental,3,128,1.2469695297795986e-05,1.2187864376109372e-05,1.4718841329076368e-05,2.0654695842309783e-05,errors/experimental__hidden_3__hidden_128/cross_layer_rel_l1_percentiles_node_weighted.json
experimental,3,256,1.0394314828130987e-05,1.1412497473813901e-05,1.1904971960409769e-05,1.2261946979612148e-05,errors/experimental__hidden_3__hidden_256/cross_layer_rel_l1_percentiles_node_weighted.json
experimental,3,512,,,,,
