group,case_id,purpose,status,accuracy_pct,correct,total,non_linearity,dims,input_gain,voltage_amp,current_amp,batch_size,exp_clip,max_newton_iters,rel_tol,vn_tol,num_iterations,use_polish,updater,overrelaxation_factor,p90_node_weighted_rel_l1,spice_netlist_seconds,spice_simulation_seconds,spice_total_seconds,notes,run_dir,config_path,p90_source,spice_npz,spice_timing_source,weights_path
cd_only_overrides_existing_spice,april29_self_contained/double_diode_exponential/hidden_3/hidden_64,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,82.5,297,360,double_diode_exponential,"[128, 64, 64, 64, 20]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,True,float64_overrelaxed,1.2,1.2564088002880897e-05,,,,old_p90=1.25640880028809e-05; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_3/hidden_64/20260519-071533_double_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_3/hidden_64/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_3/hidden_64/20260519-071533_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_3/hidden_64/weights/weights.pt
cd_only_overrides_existing_spice,april29_self_contained/single_diode_exponential/hidden_1/hidden_1024,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,97.5,351,360,single_diode_exponential,"[128, 1024, 10]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,True,overrelaxed,1,1.1361879585504223e-05,,,,old_p90=1.136187958550422e-05; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_1024/20260519-071553_single_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/single_diode_exponential/hidden_1/hidden_1024/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_1024/20260519-071553_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/single_diode_exponential/hidden_1/hidden_1024/weights/weights.pt
cd_only_overrides_existing_spice,april29_self_contained/single_diode_exponential/hidden_1/hidden_256,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,95.55555555555556,344,360,single_diode_exponential,"[128, 256, 10]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,True,overrelaxed,1,1.636078529540565e-05,,,,old_p90=1.636078529540565e-05; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_256/20260519-071553_single_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/single_diode_exponential/hidden_1/hidden_256/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_256/20260519-071553_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/single_diode_exponential/hidden_1/hidden_256/weights/weights.pt
cd_only_overrides_existing_spice,april29_self_contained/single_diode_exponential/hidden_1/hidden_512,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,96.38888888888889,347,360,single_diode_exponential,"[128, 512, 10]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,True,overrelaxed,1,1.1681781091374962e-05,,,,old_p90=1.168178109137496e-05; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_512/20260519-071556_single_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/single_diode_exponential/hidden_1/hidden_512/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_512/20260519-071556_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/single_diode_exponential/hidden_1/hidden_512/weights/weights.pt
cd_only_overrides_existing_spice,april29_self_contained/single_diode_exponential/hidden_2/hidden_256,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,89.44444444444444,322,360,single_diode_exponential,"[128, 256, 256, 10]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,True,float64,1.4,2.0558013715895263e-05,,,,old_p90=2.055801371589526e-05; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_2/hidden_256/20260519-071601_single_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/single_diode_exponential/hidden_2/hidden_256/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_2/hidden_256/20260519-071601_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/single_diode_exponential/hidden_2/hidden_256/weights/weights.pt
cd_only_overrides_existing_spice,april29_self_contained/single_diode_exponential/hidden_3/hidden_128,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,84.16666666666667,303,360,single_diode_exponential,"[128, 128, 128, 128, 10]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,True,float64,1.4,1.5974043733541934e-05,,,,old_p90=1.597404373354193e-05; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_3/hidden_128/20260519-071603_single_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/single_diode_exponential/hidden_3/hidden_128/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_3/hidden_128/20260519-071603_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/single_diode_exponential/hidden_3/hidden_128/weights/weights.pt
cd_only_overrides_existing_spice,april29_self_contained/single_diode_exponential/hidden_3/hidden_256,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,84.44444444444444,304,360,single_diode_exponential,"[128, 256, 256, 256, 20]",17.0,4.0,1.0,1,165,8,1e-05,1e-06,512,True,overrelaxed,1.4,9.895623232375704e-05,,,,old_p90=9.895623232375704e-05; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_3/hidden_256/20260519-071603_single_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/single_diode_exponential/hidden_3/hidden_256/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_3/hidden_256/20260519-071603_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/single_diode_exponential/hidden_3/hidden_256/weights/weights.pt
cd_only_overrides_existing_spice,april29_self_contained/single_diode_exponential/hidden_3/hidden_64,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,79.72222222222223,287,360,single_diode_exponential,"[128, 64, 64, 64, 10]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,True,float64,1.4,5.65957312289757e-05,,,,old_p90=5.65957312289757e-05; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_3/hidden_64/20260519-071606_single_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/single_diode_exponential/hidden_3/hidden_64/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_3/hidden_64/20260519-071606_single_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/single_diode_exponential/hidden_3/hidden_64/weights/weights.pt
cd_only_overrides_existing_spice,double_diode_replacement/double_diode_exponential_3x256,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,90.27777777777779,325,360,double_diode_exponential,"[128, 256, 256, 256, 20]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,True,overrelaxed,1.4,1.2686052573413274e-05,,,,old_p90=1.26395689075015e-05; ratio=1.003677630641673; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/double_diode_replacement/double_diode_exponential_3x256/20260519-071630_double_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/double_diode_replacement/double_diode_exponential_3x256/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/double_diode_replacement/double_diode_exponential_3x256/20260519-071630_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<paper-source-results>/digits_simulations/double_diode_exponential/hidden_3/hidden_256/hard_sigmoid_v_off_1p4_gon10_goff1e-7_bp_lr0p005_until92_staged/stage500_train/20260507-204632_hard_sigmoid/model_test_accuracy_0p92.pt
cd_only_overrides_existing_spice,double_diode_replacement/double_diode_exponential_3x64,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,91.94444444444444,331,360,double_diode_exponential,"[128, 64, 64, 64, 20]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,True,float64_overrelaxed,1.2,1.2784065671213276e-05,,,,old_p90=1.278920088718837e-05; ratio=0.9995984724909408; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/double_diode_replacement/double_diode_exponential_3x64/20260519-071644_double_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/double_diode_replacement/double_diode_exponential_3x64/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/double_diode_replacement/double_diode_exponential_3x64/20260519-071644_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<paper-source-results>/digits_simulations/double_diode_exponential/hidden_3/hidden_64/hard_sigmoid_v_off_1p4_gon10_goff1e-7_bp_lr0p005_until92_staged/stage500_train/20260507-204632_hard_sigmoid/model_test_accuracy_0p92.pt
